State,Currency,Top_Category,Category,Creator,Location,Updates,Comments,Rewards,Goal,Pledged,Backers,Start,End,Duration_in_Days,Facebook_Connected,Facebook_Friends,Facebook_Shares,Has_Video,Creator_Projects_Created,Creator_Projects_Backed,#_Videos,#_Images,#_Words_(Description),#_Words_(RisksandChallenges),#_FAQs
0,5,0,10,Dodie Egolf,Puyallup,0,0,9,20000,6,2,15-12-13,14-01-14,30,1,272,70,1,1,0,0,2,297,153,0
0,5,6,119,James Jacobs,Boston,0,0,8,3000,180,5,15-12-13,17-01-14,33,1,573,57,1,1,4,0,0,276,98,0
0,5,5,49,Uchu Bijin,New York,1,2,17,5000,1941,62,15-12-13,14-01-14,30,0,0,158,0,2,2,0,12,1049,66,2
0,5,12,101,Tylicee Mysreign,Detroit,0,0,4,5000,130,5,15-12-13,13-02-14,60,1,1285,2,1,1,2,0,0,309,169,0
0,5,12,88,Ian Driscoll,Pucallpa,0,0,12,12000,1015,16,15-12-13,14-01-14,30,1,969,411,1,1,0,0,6,1636,216,0
0,5,6,86,Calvin Walker,Dallas,0,0,13,90000,836,16,15-12-13,24-01-14,40,1,1566,142,0,2,1,1,4,872,60,0
1,3,4,104,Bergaffe,Klagenfurt,5,13,21,25000,26286,157,15-12-13,26-01-14,42,0,0,1960,1,1,0,0,17,994,214,6
0,5,13,63,Jacob Eichbaum,Tel Aviv,7,33,9,199000,43675,212,15-12-13,24-01-14,40,1,104,544,1,1,3,4,20,1705,157,7
0,5,11,97,Ted Roe,Kailua Kona,9,0,30,30000,4293,38,15-12-13,20-01-14,36,1,1284,1202,1,1,13,0,3,1660,131,2
1,1,6,119,Zachary Ouellette,Toronto,1,0,9,2500,2655,33,15-12-13,15-01-14,31,1,319,110,0,1,0,0,12,872,65,0
0,5,12,101,Andrew L. Case,Brooklyn,4,0,4,1000,225,5,15-12-13,15-01-14,31,1,537,6,1,1,1,0,1,133,97,0
1,5,6,119,Josh Rubenstein,Madison,0,0,9,1500,2411,29,15-12-13,14-01-14,30,1,1499,185,1,1,0,0,6,641,79,0
0,5,13,127,Olivier Dehousse,New York,0,0,6,40000,1,1,15-12-13,29-01-14,45,0,0,0,0,2,0,0,3,958,160,0
1,5,12,88,Jack Hagerty,Livermore,9,7,11,12000,15253,214,15-12-13,12-01-14,28,1,366,258,1,1,0,0,0,185,88,5
1,3,4,104,NiteOwl | Rob + Col,Newcastle upon Tyne,6,0,10,25000,27150,27,15-12-13,13-02-14,60,1,414,55,1,1,7,1,10,1078,371,0
1,1,4,104,Pierre-Yves Pépin,Montreal,11,41,13,11000,11670,89,15-12-13,14-01-14,30,0,0,532,1,1,3,2,32,2095,99,0
1,5,12,11,sekaiproject,Tokyo,14,22,10,5000,25400,513,16-12-13,30-01-14,45,1,66,15,0,3,3,0,9,951,128,0
1,5,0,92,Sam Tower,Philadelphia,2,0,6,3500,3616,62,16-12-13,11-01-14,26,1,1263,166,1,1,7,0,0,360,84,0
0,5,4,35,Scenicalendar,Los Angeles,0,0,6,3000,422,9,16-12-13,25-12-13,9,1,410,1,1,2,0,0,1,22,79,0
1,5,6,37,Kara Lieff,Philadelphia,1,0,11,1839,1910,57,16-12-13,15-01-14,30,1,428,368,1,1,1,0,3,1856,124,0
0,5,6,86,Third Place Productions,Atlanta,1,1,20,30000,2827,38,16-12-13,15-01-14,30,0,0,454,1,1,3,0,12,1030,261,0
0,5,5,49,Serena Harris Owens,Kansas City,0,0,7,2000,200,2,16-12-13,15-01-14,30,0,0,9,1,1,1,0,2,159,106,0
0,5,7,55,Coni Brigner,Dayton,3,2,11,15000,3356,28,16-12-13,15-01-14,30,1,36,96,1,1,1,0,0,570,92,0
0,5,13,127,Danmark Clara,Los Angeles,44,0,13,5000,62,7,16-12-13,31-01-14,46,0,0,13,1,2,4,1,0,1810,143,20
0,5,13,89,Brian Ma,San Francisco,0,0,5,2381,3,1,16-12-13,30-12-13,14,1,540,2,1,1,0,0,0,404,136,0
