backers_count,id,pledged,static_usd_rate,s_category,g_category,staff_pick,state,country,month_launched,currency,usd_pledged,length_days,name_length,blurb_length,goal_$,funded_percentage,converted_pledged_amount
30,1361161119,1111,1.41381923,350,26,0,1,9,1,5,0.000248015,0.483146067,0.518072289,0.694300518,0.000014131,0.000038727,0.000244265
0,746509287,0,1,49,18,0,0,21,3,13,0,0.325842697,0.204819277,0.67357513,0.000049993,0,0
22,311541751,1116.5,1.39023471,293,11,0,1,9,3,5,0.000245085,0.314606742,0.21686747,0.694300518,0.000005554,0.000097296,0.000247265
2,466957735,11,1,21,1,0,0,21,8,13,0.000001737,0.325842697,0.168674699,0.621761658,0.000109993,0.000000035,0.000001737
7,1471254290,826,1,49,18,0,0,21,9,13,0.000130422,0.325842697,0.493975904,0.471502591,0.000019993,0.000014396,0.000130422
12,1686086527,1095,1,29,11,0,1,21,9,13,0.000172896,0.662921348,0.048192771,0.29015544,0.000005993,0.000063615,0.000172896
45,1900774830,11083,1,263,9,0,1,21,2,13,0.001749958,0.370786517,0.192771084,0.554404145,0.000074493,0.000051856,0.001749958
3,1869571287,51,1,345,26,0,0,21,8,13,0.000008053,0.325842697,0.265060241,0.212435233,0.000049993,0.000000356,0.000008053
59,1918192264,3140.71,1,296,11,0,1,21,8,13,0.000495905,0.325842697,0.13253012,0.689119171,0.000026993,0.000040547,0.000495792
42,938361287,1273.77,1,23,1,0,1,21,2,13,0.000201123,0.303370787,0.301204819,0.393782383,0.000009993,0.000044401,0.000201001
35,22626997,3001,1,293,11,0,1,21,12,13,0.000473845,0.662921348,0.204819277,0.626943005,0.000029993,0.000034869,0.000473845
1,1419076833,10,0.05255206,23,1,0,0,15,3,8,0.000000083,0.325842697,0.168674699,0.616580311,0.000010503,0.000000017,0
0,1866639170,0,1.19465036,361,13,0,0,11,9,4,0,0.325842697,0.409638554,0.689119171,0.000059725,0,0
3062,1205139044,353804.96,1,263,9,0,1,21,5,13,0.055864272,0.314606742,0.518072289,0.430051813,0.000099993,0.001233278,0.055864128
9,314642447,283,1.09956084,29,11,0,0,0,6,4,0.000049133,0.325842697,0.204819277,0.694300518,0.000038477,0.000002818,0.000049421
16,30503392,725,1,29,11,0,0,21,9,13,0.000114474,0.382022472,0.240963855,0.637305699,0.000074993,0.00000337,0.000114474
26,780256538,3475,1,23,1,0,1,21,5,13,0.000548687,0.247191011,0.554216867,0.694300518,0.000029993,0.000040377,0.000548688
4,2073356582,71,1,24,1,0,0,21,3,13,0.000011211,0.314606742,0.43373494,0.658031088,0.000000993,0.000024749,0.000011211
2,2105034808,125,1,356,26,0,0,21,9,13,0.000019737,0.325842697,0.337349398,0.668393782,0.000049993,0.000000871,0.000019737
52,1504075011,2080.78,1,23,1,0,1,21,2,13,0.000328546,0.314606742,0.662650602,0.632124352,0.000019993,0.000036265,0.000328423
0,1620639977,0,1,24,1,0,0,21,9,13,0,0.325842697,0.614457831,0.642487047,0.000009993,0,0
32,314899775,870.11,1,24,1,0,1,21,9,13,0.000137387,0.269662921,0.204819277,0.683937824,0.000007993,0.000037912,0.000137369
22,767673920,2515,1.09668243,24,1,0,1,16,8,4,0.000435501,0.415730337,0.253012048,0.663212435,0.00002741,0.000035067,0.000449055
1,846837816,600,1,23,1,0,1,21,11,13,0.000094737,0.247191011,0.240963855,0.626943005,0.000001493,0.00013943,0.000094737
274,974115972,32381,1,263,9,0,1,21,8,13,0.00511282,0.370786517,0.590361446,0.481865285,0.000199993,0.000056436,0.00511282
0,1154798256,0,1,23,1,0,0,21,8,13,0,0.06741573,0.481927711,0.658031088,0.000799993,0,0
130,122995533,8241,1.48761265,263,9,0,1,9,3,5,0.001935709,0.224719101,0.578313253,0.512953368,0.000111564,0.000038301,0.001947643
100,1530383668,2725,1,21,1,0,1,21,1,13,0.000430266,0.224719101,0.337349398,0.160621762,0.000002393,0.000395779,0.000430266
25,870593338,2012,1,263,9,0,1,21,10,13,0.000317686,0.325842697,0.192771084,0.647668394,0.000018493,0.00003791,0.000317686
31,61381667,3601,1,23,1,0,1,21,12,13,0.000568582,0.337078652,0.325301205,0.559585492,0.000035993,0.000034867,0.000568582
14,1069209314,1000,1,36,14,0,1,21,6,13,0.000157896,0.325842697,0.228915663,0.683937824,0.000009993,0.000034858,0.000157896
41,137821984,1820,1,21,1,0,1,21,3,13,0.00028737,0.337078652,0.542168675,0.601036269,0.000009993,0.000063441,0.00028737
42,924009806,3570,1,281,17,0,1,21,5,13,0.000563688,0.191011236,0.530120482,0.647668394,0.000021993,0.000056564,0.000563688
10,34667832,197,1.27927133,21,1,0,0,9,11,5,0.000039792,0.662921348,0.409638554,0.647668394,0.000076749,0.000001144,0.000039948
150,444149000,11222,1,316,14,0,1,21,6,13,0.001771905,0.325842697,0.674698795,0.647668394,0.000109493,0.000035723,0.001771905
40,892597764,5427,1,23,1,0,1,21,11,13,0.0008569,0.06741573,0.457831325,0.186528497,0.000049993,0.000037834,0.0008569
43,1449670681,2867,1.5520937,258,7,0,1,9,5,5,0.000702612,0.325842697,0.108433735,0.507772021,0.000038795,0.000039975,0.000718741
2,502934774,100,1.23388698,276,15,0,0,16,12,4,0.000019483,0.325842697,0.265060241,0.689119171,0.000043179,0.000000996,0.000018947
1,1764652414,1,0.85094434,21,1,0,0,3,1,1,0.000000134,0.325842697,0.192771084,0.621761658,0.000085087,0.000000003,0
59,418230463,27319.76,0.05266124,29,11,1,1,15,9,8,0.000227163,0.325842697,0.192771084,0.621761658,0.000011578,0.000043286,0.000222791
1,2076498555,50,1,29,11,0,0,21,1,13,0.000007895,0.179775281,0.192771084,0.25388601,0.000014993,0.000001162,0.000007895
0,783831336,0,1,343,26,0,0,21,5,13,0,0.325842697,0.21686747,0.544041451,0.000049993,0,0
137,992104532,25626,1,263,9,1,1,21,11,13,0.004046235,0.292134831,0.518072289,0.689119171,0.000189993,0.000047014,0.004046235
182,1511329235,17262.22,1.43054763,263,9,0,1,9,1,5,0.003899143,0.325842697,0.662650602,0.668393782,0.00023918,0.000035988,0.003798497
45,1686602572,3800,1,316,14,0,1,21,4,13,0.000600004,0.438202247,0.638554217,0.67357513,0.000037993,0.000034858,0.000600004
4,1421123340,700,1,23,1,0,0,21,1,13,0.000110527,0.303370787,0.13253012,0.575129534,0.000039993,0.0000061,0.000110527
17,1652341653,340,1,29,11,0,1,21,6,13,0.000053685,0.123595506,0.530120482,0.621761658,0.000002993,0.000039505,0.000053685
36,1169302605,2528,0.88913548,278,15,0,1,3,10,1,0.000354908,0.247191011,0.265060241,0.663212435,0.000018665,0.000041962,0.000356528
14,2001217147,1401,1,297,11,0,1,21,1,13,0.000221212,0.325842697,0.13253012,0.502590674,0.000013993,0.000034882,0.000221212
35,1792826662,1134,0.90161895,29,11,0,0,3,2,1,0.000161438,0.651685393,0.13253012,0.300518135,0.000090155,0.000003953,0.000163106
73,1766235989,4300,1,23,1,0,1,21,4,13,0.000678951,0.191011236,0.686746988,0.683937824,0.000034993,0.000042825,0.000678951
1,794061491,5,1.33875081,21,1,0,0,16,8,4,0.000001057,0.213483146,0.43373494,0.528497409,0.000133868,0.000000017,0.000000947
0,461153800,0,1,23,1,0,0,21,6,13,0,0.382022472,0.337349398,0.497409326,0.000002493,0,0
0,885673794,0,1,258,7,0,0,21,7,13,0,0.325842697,0.445783133,0.621761658,0.000049993,0,0
73,496365223,2641,1.54522009,29,11,1,0,9,2,5,0.000644361,0.314606742,0.578313253,0.668393782,0.000772603,0.000001841,0.00062353
0,1438242678,0,1,361,13,0,0,21,4,13,0,0.325842697,0.385542169,0.67357513,0.000049993,0,0
13,1142688875,781,1,343,26,0,1,21,10,13,0.000123317,0.325842697,0.301204819,0.295336788,0.000004993,0.000054448,0.000123317
0,1271303240,0,1,21,1,0,0,21,11,13,0,0.494382022,0.180722892,0.67357513,0.000099993,0,0
6,1023344528,125.92,1,356,26,0,0,21,3,13,0.000019882,0.494382022,0.204819277,0.694300518,0.000025223,0.00000174,0.000019737
1,963977641,18.8,0.05202182,338,16,0,0,15,9,8,0.000000154,0.314606742,0.662650602,0.668393782,0.000156058,0.000000002,0
0,1247660320,0,1,319,14,0,0,21,7,13,0,0.325842697,0.43373494,0.678756477,0.000029993,0,0
8,523792096,310,1.46104418,348,26,0,0,9,5,5,0.000071515,0.382022472,0.108433735,0.569948187,0.000014603,0.000010806,0.000070737
2,1847978807,990,1,355,26,0,1,21,10,13,0.000156317,0.325842697,0.072289157,0.25388601,0.000002993,0.00011503,0.000156317
48,669921029,3247,1,301,11,0,1,21,9,13,0.000512687,0.258426966,0.277108434,0.606217617,0.000029993,0.000037728,0.000512687
300,1615905264,36468,1,297,11,0,1,21,1,13,0.005758139,0.325842697,0.65060241,0.621761658,0.000199993,0.000063559,0.00575814
4,793456172,223,0.91336546,49,18,0,0,3,2,1,0.00003216,0.314606742,0.602409639,0.642487047,0.000045661,0.000001555,0.000031263
297,892626432,9049,1,29,11,0,1,21,8,13,0.001428798,0.213483146,0.686746988,0.471502591,0.000019993,0.000157713,0.001428798
2,532821277,51,1,345,26,0,0,21,1,13,0.000008053,0.325842697,0.614457831,0.668393782,0.000249993,0.000000071,0.000008053
94,195849812,6726,1,51,16,0,1,21,3,13,0.001062006,0.337078652,0.698795181,0.694300518,0.000049993,0.00004689,0.001062006
21,115064437,1525,1,278,15,0,1,21,5,13,0.000240791,0.157303371,0.481927711,0.668393782,0.000014993,0.000035439,0.000240791
