featured_project,project_video,state,category,status_labels,funding_currency.1,avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,description_length,full_desc_len,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,project_img,duration
0,1,35,56,0,6,0.000962644,0.001180799,0.791044776,0.096373057,0.0005999,3.61E-05,5.01E-05,4.50E-05,0,0,0,0.000346141,0.046153846,0.012345679,0.038461538,0.338983051
0,3,51,10,1,6,0.003347701,0.000743062,0.544776119,0.103626943,0.0001499,0.000382018,0.000132805,0.000225015,0,0,0,0.002422984,0.092307692,0,0.046153846,0.440677966
0,1,32,18,0,6,0.005747126,0.002355989,0.201492537,0.251135911,0.0034999,0.000130394,0.001058316,0.000585039,9.91E-05,0,0.018518519,0.006922811,0.153846154,0.024691358,0.161538462,0.796610169
0,1,113,143,0,6,0.000359195,3.63E-05,0.52238806,0.024312475,0.0004999,9.09E-07,9.66E-07,2.25E-05,0,0.047619048,0,0.00017307,0.061538462,0.049382716,0,1
0,0,49,8,0,6,0.005747126,0.000383734,0.992537313,0.091111997,0.0024999,6.25E-06,3.61E-05,0.000112507,3.30E-05,0,0,0.000692281,0.015384615,0.037037037,0.007692308,0.491525424
0,0,93,60,1,0,0.002068966,0.005768985,0.947761194,0.265683539,0.0009999,0.000379026,0.000878958,0.000191263,0,0,0,0.002249913,0.138461538,0,0.038461538,1
0,1,113,82,0,6,0.000359195,0.000103852,0.671641791,0.078876046,0.0002499,6.36E-06,3.60E-06,3.38E-05,0,0,0,0.000346141,0.123076923,0,0.007692308,0.661016949
0,1,26,143,0,3,0.003347701,0.000886585,0.440298507,0.315823037,0.012999901,3.75E-06,0.000113043,0.00015751,0,0,0,0.002422984,0.092307692,0.061728395,0.223076923,0.491525424
0,1,75,143,1,2,0.007183908,0.002205611,0.880597015,0.058150658,0.0002899,0.000444811,0.000299076,0.000168761,0,0,0,0.002596054,0.046153846,0.086419753,0.115384615,0.745762712
0,1,125,6,1,4,0.058189655,0.000114445,0.425373134,0.083021124,6.49E-05,0.000577402,8.70E-05,0.000956313,3.30E-05,0,0,0.014018692,0.030769231,0.111111111,0.130769231,0.491525424
1,1,113,143,1,6,0.102227011,0.000385707,0.992537313,0.350019928,0.0024999,0.001220398,0.007075756,0.024065344,0.010236428,0,0.111111111,0.160089997,0.2,0.209876543,0.484615385,0.491525424
